tweet_id,favorites,retweets,user_followers,user_favourites,date_time
690348396616552449,1471,498,8877508,145871,2016-01-22 01:40:58+00:00
690248561355657216,1637,404,8877508,145871,2016-01-21 19:04:15+00:00
690021994562220032,2725,997,8877508,145871,2016-01-21 04:03:58+00:00
690015576308211712,2426,714,8878188,145872,2016-01-21 03:38:27+00:00
690005060500217858,3576,1633,8877508,145871,2016-01-21 02:56:40+00:00
689999384604450816,1379,357,8877508,145871,2016-01-21 02:34:07+00:00
689993469801164801,1420,435,8877508,145871,2016-01-21 02:10:37+00:00
689977555533848577,1337,434,8877508,145871,2016-01-21 01:07:23+00:00
689905486972461056,2387,681,8877508,145871,2016-01-20 20:21:00+00:00
689877686181715968,2963,1125,8877508,145871,2016-01-20 18:30:32+00:00
689835978131935233,2116,727,8877508,145871,2016-01-20 15:44:48+00:00
689661964914655233,3149,905,8877508,145871,2016-01-20 04:13:20+00:00
689659372465688576,10125,3736,8877508,145871,2016-01-20 04:03:02+00:00
689623661272240129,2173,622,8877508,145871,2016-01-20 01:41:08+00:00
689599056876867584,11378,5347,8877508,145871,2016-01-20 00:03:21+00:00
689557536375177216,1999,443,8877508,145871,2016-01-19 21:18:22+00:00
689517482558820352,3316,1390,8877508,145871,2016-01-19 18:39:13+00:00
689289219123089408,2198,908,8877508,145871,2016-01-19 03:32:10+00:00
689283819090870273,3175,1063,8877508,145871,2016-01-19 03:10:43+00:00
689280876073582592,1935,685,8877508,145871,2016-01-19 02:59:01+00:00
689275259254616065,1114,238,8877508,145871,2016-01-19 02:36:42+00:00
689255633275777024,2493,1051,8877508,145871,2016-01-19 01:18:43+00:00
689154315265683456,3008,966,8877508,145871,2016-01-18 18:36:07+00:00
689143371370250240,1965,490,8877508,145871,2016-01-18 17:52:38+00:00
688916208532455424,2646,838,8877508,145871,2016-01-18 02:49:58+00:00
688908934925697024,2062,740,8877508,145871,2016-01-18 02:21:04+00:00
688898160958271489,2043,758,8877508,145871,2016-01-18 01:38:15+00:00
688894073864884227,2184,664,8877508,145871,2016-01-18 01:22:00+00:00
688828561667567616,1348,358,8877508,145871,2016-01-17 21:01:41+00:00
688804835492233216,946,187,8877508,145871,2016-01-17 19:27:24+00:00
688789766343622656,2167,644,8877508,145871,2016-01-17 18:27:32+00:00
688547210804498433,2533,676,8877508,145871,2016-01-17 02:23:42+00:00
688519176466644993,2263,711,8877508,145871,2016-01-17 00:32:18+00:00
688385280030670848,9054,4343,8877508,145871,2016-01-16 15:40:14+00:00
688211956440801280,2185,805,8877508,145871,2016-01-16 04:11:31+00:00
688179443353796608,2079,568,8877508,145871,2016-01-16 02:02:19+00:00
688116655151435777,2757,750,8877508,145871,2016-01-15 21:52:49+00:00
688064179421470721,1689,352,8877508,145871,2016-01-15 18:24:18+00:00
687841446767013888,5338,2428,8877508,145871,2016-01-15 03:39:15+00:00
687826841265172480,2680,1089,8877508,145871,2016-01-15 02:41:12+00:00
687818504314159109,2420,926,8877508,145871,2016-01-15 02:08:05+00:00
687807801670897665,2336,695,8877508,145871,2016-01-15 01:25:33+00:00
687732144991551489,1716,642,8877508,145871,2016-01-14 20:24:55+00:00
